iter	Passed	Remaining
402	10469	15509
403	10495	15484
404	10521	15458
405	10546	15430
406	10572	15403
407	10598	15377
408	10623	15350
409	10647	15322
410	10672	15295
411	10697	15266
412	10722	15240
413	10748	15213
414	10774	15187
415	10798	15160
416	10825	15134
417	10854	15112
418	10879	15085
419	10906	15060
420	10931	15034
421	10957	15008
422	10983	14982
423	11008	14955
424	11031	14924
425	11054	14895
426	11079	14867
427	11105	14841
428	11131	14815
429	11155	14787
430	11181	14761
431	11207	14735
432	11232	14708
433	11257	14682
434	11282	14654
435	11307	14627
436	11333	14601
437	11359	14575
438	11384	14548
439	11408	14520
440	11437	14497
441	11478	14490
442	11513	14476
443	11540	14451
444	11572	14433
445	11600	14409
446	11627	14385
447	11655	14361
448	11682	14335
449	11711	14313
450	11736	14286
451	11768	14268
452	11796	14244
453	11826	14222
454	11854	14199
455	11881	14174
456	11907	14148
457	11933	14122
458	11958	14094
459	11984	14068
460	12013	14045
461	12040	14021
462	12065	13994
463	12091	13967
464	12117	13941
465	12145	13917
466	12178	13900
467	12208	13878
468	12235	13853
469	12263	13829
470	12291	13804
471	12317	13778
472	12342	13751
473	12371	13728
474	12401	13706
475	12428	13681
476	12457	13658
477	12484	13633
478	12511	13608
479	12542	13587
480	12569	13562
481	12597	13538
482	12624	13512
483	12651	13487
484	12681	13465
485	12713	13445
486	12750	13431
487	12782	13410
488	12813	13390
489	12841	13365
490	12870	13342
491	12902	13322
492	12929	13296
493	12959	13274
494	12990	13253
495	13019	13229
496	13049	13207
497	13079	13184
498	13111	13163
499	13142	13142
500	13172	13120
501	13201	13096
502	13231	13073
503	13259	13049
504	13286	13023
505	13313	12997
506	13340	12971
507	13367	12946
508	13392	12918
509	13418	12892
510	13446	12867
511	13471	12840
512	13499	12814
513	13525	12789
514	13552	12763
515	13581	12739
516	13610	12715
517	13637	12689
518	13664	12663
519	13691	12638
520	13718	12612
521	13744	12586
522	13774	12563
523	13803	12538
524	13835	12517
525	13866	12495
526	13898	12474
527	13927	12450
528	13952	12423
529	13980	12397
530	14007	12371
531	14036	12347
532	14061	12320
533	14090	12296
534	14117	12270
535	14146	12245
536	14172	12219
537	14201	12195
538	14229	12170
539	14255	12143
540	14285	12120
541	14310	12092
542	14336	12066
543	14362	12039
544	14393	12016
545	14421	11991
546	14449	11966
547	14476	11940
548	14502	11913
549	14529	11887
550	14555	11860
551	14581	11834
552	14609	11808
553	14638	11784
554	14666	11759
555	14694	11734
556	14723	11710
557	14752	11686
558	14778	11658
559	14807	11634
560	14834	11608
561	14862	11583
562	14889	11557
563	14916	11531
564	14944	11506
565	14972	11480
566	14999	11454
567	15028	11429
568	15052	11401
569	15076	11373
570	15101	11346
571	15127	11318
572	15154	11292
573	15181	11266
574	15208	11241
575	15238	11217
576	15269	11193
577	15298	11169
578	15325	11143
579	15355	11119
580	15385	11095
581	15412	11069
582	15439	11043
583	15466	11016
584	15495	10992
585	15523	10967
586	15547	10939
587	15576	10913
588	15601	10886
589	15627	10860
590	15653	10833
591	15680	10806
592	15707	10780
593	15734	10754
594	15760	10727
595	15789	10702
596	15816	10677
597	15849	10654
598	15879	10630
599	15906	10604
600	15937	10581
601	15968	10557
602	16001	10535
603	16035	10513
604	16062	10486
605	16089	10460
606	16116	10434
607	16142	10407
608	16169	10381
609	16196	10355
610	16223	10328
611	16250	10302
612	16276	10275
613	16301	10248
614	16326	10220
615	16353	10194
616	16379	10167
617	16405	10140
618	16432	10114
619	16459	10088
620	16488	10063
621	16515	10036
622	16547	10013
623	16576	9988
624	16604	9962
625	16631	9936
626	16658	9909
627	16683	9882
628	16709	9855
629	16735	9828
630	16761	9801
631	16786	9774
632	16813	9748
633	16841	9722
634	16867	9695
635	16894	9669
636	16921	9642
637	16946	9615
638	16976	9590
639	17003	9564
640	17029	9537
641	17053	9509
642	17079	9482
643	17106	9456
644	17133	9430
645	17160	9403
646	17188	9377
647	17217	9352
648	17242	9325
649	17270	9299
650	17299	9274
651	17330	9250
652	17360	9225
653	17388	9199
654	17417	9173
655	17449	9150
656	17480	9126
657	17514	9103
658	17544	9078
659	17573	9052
660	17601	9027
661	17631	9002
662	17657	8975
663	17685	8949
664	17711	8922
665	17739	8896
666	17767	8870
667	17796	8844
668	17824	8818
669	17850	8792
670	17876	8765
671	17901	8737
672	17931	8712
673	17958	8686
674	17984	8659
675	18014	8633
676	18038	8606
677	18066	8580
678	18093	8553
679	18118	8526
680	18143	8499
681	18169	8471
682	18195	8444
683	18220	8417
684	18244	8390
685	18269	8362
686	18294	8335
687	18319	8307
688	18346	8281
689	18372	8254
690	18397	8226
691	18424	8200
692	18448	8172
693	18473	8145
694	18500	8118
695	18525	8091
696	18551	8064
697	18576	8037
698	18601	8010
699	18628	7983
700	18652	7956
701	18680	7929
702	18705	7902
703	18732	7876
704	18756	7848
705	18781	7821
706	18807	7794
707	18834	7767
708	18859	7740
709	18884	7713
710	18910	7686
711	18935	7659
712	18959	7631
713	18984	7604
714	19009	7577
715	19035	7550
716	19060	7523
717	19086	7496
718	19112	7469
719	19137	7442
720	19162	7415
721	19188	7388
722	19213	7361
723	19238	7334
724	19264	7307
725	19290	7280
726	19316	7253
727	19342	7226
728	19369	7200
729	19395	7173
730	19422	7147
731	19447	7120
732	19473	7093
733	19500	7066
734	19524	7039
735	19552	7013
736	19576	6986
737	19602	6958
738	19625	6931
739	19651	6904
740	19676	6877
741	19700	6849
742	19726	6823
743	19751	6796
744	19775	6768
745	19800	6741
746	19827	6715
747	19852	6688
748	19876	6660
749	19901	6633
750	19927	6606
751	19951	6579
752	19976	6552
753	20003	6526
754	20030	6499
755	20054	6472
756	20080	6446
757	20106	6419
758	20132	6392
759	20156	6365
760	20180	6337
761	20206	6311
762	20231	6284
763	20256	6257
764	20282	6230
765	20310	6204
766	20334	6177
767	20359	6150
768	20384	6123
769	20410	6096
770	20436	6069
771	20460	6042
772	20486	6016
773	20513	5989
774	20539	5963
775	20564	5936
776	20590	5909
777	20617	5883
778	20642	5856
779	20666	5829
780	20692	5802
781	20716	5775
782	20742	5748
783	20767	5721
784	20794	5695
785	20819	5668
786	20847	5642
787	20872	5615
788	20896	5588
789	20921	5561
790	20949	5535
791	20975	5508
792	21000	5481
793	21024	5454
794	21048	5427
795	21073	5400
796	21098	5373
797	21125	5347
798	21150	5320
799	21175	5293
800	21200	5267
801	21226	5240
802	21253	5214
803	21278	5187
804	21304	5160
805	21330	5134
806	21357	5107
807	21383	5081
808	21411	5055
809	21435	5028
810	21460	5001
811	21486	4974
812	21512	4948
813	21537	4921
814	21563	4894
815	21587	4867
816	21613	4841
817	21638	4814
818	21665	4788
819	21690	4761
820	21715	4734
821	21740	4707
822	21767	4681
823	21791	4654
824	21819	4628
825	21844	4601
826	21869	4574
827	21895	4548
828	21919	4521
829	21946	4494
830	21971	4468
831	21996	4441
832	22021	4414
833	22048	4388
834	22074	4362
835	22099	4335
836	22123	4308
837	22150	4282
838	22176	4255
839	22202	4229
840	22228	4202
841	22256	4176
842	22280	4149
843	22305	4122
844	22332	4096
845	22355	4069
846	22379	4042
847	22407	4016
848	22435	3990
849	22463	3964
850	22488	3937
851	22513	3910
852	22537	3884
853	22562	3857
854	22587	3830
855	22613	3804
856	22636	3777
857	22661	3750
858	22687	3724
859	22712	3697
860	22738	3670
861	22765	3644
862	22791	3618
863	22816	3591
864	22842	3565
865	22866	3538
866	22893	3511
867	22919	3485
868	22946	3459
869	22970	3432
870	22996	3405
871	23024	3379
872	23049	3353
873	23076	3326
874	23101	3300
875	23125	3273
876	23151	3247
877	23178	3220
878	23202	3193
879	23227	3167
880	23253	3140
881	23279	3114
882	23305	3087
883	23331	3061
884	23358	3035
885	23384	3008
886	23410	2982
887	23437	2956
888	23460	2929
889	23487	2902
890	23513	2876
891	23537	2849
892	23563	2823
893	23588	2796
894	23613	2770
895	23638	2743
896	23662	2717
897	23687	2690
898	23711	2663
899	23736	2637
900	23764	2611
901	23788	2584
902	23813	2558
903	23841	2531
904	23865	2505
905	23890	2478
906	23916	2452
907	23941	2425
908	23965	2399
909	23990	2372
910	24017	2346
911	24043	2319
912	24068	2293
913	24094	2267
914	24118	2240
915	24144	2214
916	24169	2187
917	24196	2161
918	24219	2134
919	24243	2108
920	24270	2081
921	24296	2055
922	24322	2029
923	24347	2002
924	24373	1976
925	24398	1949
926	24425	1923
927	24449	1896
928	24474	1870
929	24499	1844
930	24523	1817
931	24549	1791
932	24574	1764
933	24601	1738
934	24627	1712
935	24652	1685
936	24677	1659
937	24704	1632
938	24730	1606
939	24754	1580
940	24779	1553
941	24804	1527
942	24830	1500
943	24854	1474
944	24879	1448
945	24904	1421
946	24930	1395
947	24957	1368
948	24981	1342
949	25006	1316
950	25031	1289
951	25060	1263
952	25085	1237
953	25110	1210
954	25136	1184
955	25162	1158
956	25187	1131
957	25212	1105
958	25238	1079
959	25268	1052
960	25293	1026
961	25318	1000
962	25346	973
963	25373	947
964	25401	921
965	25429	895
966	25454	868
967	25480	842
968	25506	816
969	25530	789
970	25556	763
971	25583	736
972	25608	710
973	25633	684
974	25657	657
975	25683	631
976	25708	605
977	25734	578
978	25759	552
979	25786	526
980	25811	499
981	25838	473
982	25865	447
983	25893	421
984	25923	394
985	25953	368
986	25978	342
987	26003	315
988	26028	289
989	26052	263
990	26078	236
991	26106	210
992	26131	184
993	26157	157
994	26184	131
995	26209	105
996	26233	78
997	26260	52
998	26285	26
999	26311	0
